plasomDBID,bp,cc,mf
MAL13P1.1,1,2,1
MAL13P1.100,4,0,0
MAL13P1.102,0,2,1
MAL13P1.11,4,5,3
MAL13P1.111,1,0,0
MAL13P1.112,3,3,2
MAL13P1.113,6,5,1
MAL13P1.114,2,4,2
MAL13P1.115,0,3,1
MAL13P1.117,2,0,2
MAL13P1.119,9,3,1
MAL13P1.12,0,5,0
MAL13P1.120,2,3,1
MAL13P1.121,0,6,1
MAL13P1.122,8,5,2
MAL13P1.124,3,5,1
MAL13P1.125,0,2,1
MAL13P1.126,2,3,2
MAL13P1.127,0,1,0
MAL13P1.128,2,5,2
MAL13P1.13,0,2,2
MAL13P1.130,0,7,1
MAL13P1.131,0,4,0
MAL13P1.132,0,3,1
MAL13P1.133,0,1,0
MAL13P1.134,2,1,2
MAL13P1.135,6,5,1
MAL13P1.137,0,5,2
MAL13P1.138,0,0,2
MAL13P1.139,2,6,0
MAL13P1.14,1,3,2
MAL13P1.140,0,5,2
MAL13P1.144,2,3,0
MAL13P1.145,0,3,0
MAL13P1.146,3,0,1
MAL13P1.147,0,2,1
MAL13P1.148,3,5,2
MAL13P1.149,0,2,0
MAL13P1.15,0,2,1
MAL13P1.150,0,1,0
MAL13P1.151,0,1,0
MAL13P1.152,0,2,0
MAL13P1.153,0,3,1
MAL13P1.154,1,2,2
MAL13P1.155,0,0,1
MAL13P1.156,0,3,1
MAL13P1.160,0,3,0
MAL13P1.161,0,3,0
MAL13P1.162,1,0,0
MAL13P1.164,2,3,2
MAL13P1.165,3,2,0
MAL13P1.166,0,0,1
MAL13P1.167,2,7,1
MAL13P1.168,0,3,0
MAL13P1.169,6,6,1
MAL13P1.170,0,0,1
MAL13P1.171,1,5,1
MAL13P1.174,0,5,0
MAL13P1.176,2,2,1
MAL13P1.177,2,3,0
MAL13P1.179,0,2,0
MAL13P1.18,0,2,0
MAL13P1.180,2,2,2
MAL13P1.182,0,3,0
MAL13P1.183,3,6,4
MAL13P1.184,1,0,1
MAL13P1.185,2,3,2
MAL13P1.186,3,3,1
MAL13P1.188,0,5,2
MAL13P1.189,0,2,0
MAL13P1.19,5,3,1
MAL13P1.190,4,3,2
MAL13P1.191,4,0,1
MAL13P1.192,0,0,1
MAL13P1.193,1,1,0
MAL13P1.194,0,3,0
MAL13P1.195,0,2,0
MAL13P1.196,2,3,2
MAL13P1.197,0,2,1
MAL13P1.2,7,5,0
MAL13P1.20,1,0,1
MAL13P1.200,2,4,1
MAL13P1.201,3,2,1
MAL13P1.202,0,5,2
MAL13P1.203,0,4,0
MAL13P1.204,2,0,1
MAL13P1.205,7,3,2
MAL13P1.206,2,4,1
MAL13P1.209,2,5,1
MAL13P1.21,3,5,0
MAL13P1.210,3,3,1
MAL13P1.212,4,3,0
MAL13P1.213,2,6,2
MAL13P1.214,3,3,2
MAL13P1.216,0,0,2
MAL13P1.217,0,3,0
MAL13P1.218,3,0,1
MAL13P1.219,2,0,1
MAL13P1.22,4,4,2
MAL13P1.220,3,3,2
MAL13P1.221,3,3,2
MAL13P1.222,0,4,0
MAL13P1.224,0,0,1
MAL13P1.225,5,9,1
MAL13P1.226,0,2,0
MAL13P1.227,6,3,1
MAL13P1.228,0,2,0
MAL13P1.23-a,3,1,1
MAL13P1.23-b,3,1,1
MAL13P1.230,3,6,1
MAL13P1.231,1,1,0
MAL13P1.233,0,3,1
MAL13P1.235,0,2,0
MAL13P1.236,0,4,0
MAL13P1.237,0,3,1
MAL13P1.238,0,2,0
MAL13P1.239,0,1,0
MAL13P1.240,0,5,0
MAL13P1.241,7,0,2
MAL13P1.243,2,0,2
MAL13P1.245,0,2,0
MAL13P1.246,3,4,3
MAL13P1.247,0,3,1
MAL13P1.248,2,0,1
MAL13P1.249,0,2,0
MAL13P1.25,0,3,1
MAL13P1.251,3,2,2
MAL13P1.252,0,2,0
MAL13P1.253,2,5,0
MAL13P1.254,0,2,0
MAL13P1.255,3,3,1
MAL13P1.256,1,2,1
MAL13P1.258,1,2,2
MAL13P1.259,0,2,0
MAL13P1.260,0,2,1
MAL13P1.261,0,2,2
MAL13P1.262,2,3,2
MAL13P1.264,0,3,1
MAL13P1.266,1,1,0
MAL13P1.267,2,0,2
MAL13P1.270,2,3,1
MAL13P1.271,3,7,1
MAL13P1.274,2,3,1
MAL13P1.275,0,3,0
MAL13P1.276,0,6,0
MAL13P1.277,2,0,1
MAL13P1.278,2,3,2
MAL13P1.279,3,3,2
MAL13P1.281,3,3,2
MAL13P1.282,0,2,1
MAL13P1.283,2,3,1
MAL13P1.284,3,0,1
MAL13P1.285,2,0,0
MAL13P1.286,1,1,1
MAL13P1.287,0,4,0
MAL13P1.288,0,2,0
MAL13P1.289,0,3,2
