"","plasomDBID","GOTerm","GOAncestor","GOBranch"
"1","PFC0310c","GO:0004252","GO:0003674","mf"
"2","PF14_0605","GO:0004693","GO:0003674","mf"
"3","MAL13P1.535","GO:0020035","GO:0008150","bp"
"4","MAL13P1.241","GO:0007264","GO:0009987","bp"
"5","MAL13P1.385","GO:0000398","GO:0008152","bp"
"6","PF13_0106","GO:0005737","GO:0005623","cc"
"7","PFI0010c","GO:0020013","GO:0009987","bp"
"8","MAL8P1.128","GO:0019773","GO:0005623","cc"
"9","PF14_0249","GO:0005524","GO:0005488","mf"
"10","PFD0462w","GO:0051082","GO:0005488","mf"
"11","MAL13P1.19","GO:0006974","GO:0009987","bp"
"12","PFL1465c","GO:0009408","GO:0050896","bp"
"13","PFI1330c","GO:0005737","GO:0005623","cc"
"14","PFC0140c","GO:0016887","GO:0003674","mf"
"15","PF14_0067","GO:0005044","GO:0003674","mf"
"16","MAL7P1.204","GO:0005622","GO:0005575","cc"
"17","PFF1480w","GO:0005730","GO:0005623","cc"
"18","PF11_0301","GO:0004766","GO:0003674","mf"
"19","PF11_0230","GO:0020011","GO:0005623","cc"
"20","PFL0005w","GO:0009405","GO:0008150","bp"
"22","PF14_0051","GO:0003677","GO:0003674","mf"
"23","PF10_0196","GO:0007018","GO:0009987","bp"
"24","PFF0090w","GO:0008270","GO:0003674","mf"
"25","PF11_0333","GO:0016021","GO:0005575","cc"
"26","PFE0185c","GO:0005840","GO:0005623","cc"
"27","PFI1120c","GO:0005622","GO:0005575","cc"
"28","PFI0380c","GO:0020011","GO:0005623","cc"
"29","PF11_0298","GO:0016255","GO:0008152","bp"
"30","PF14_0065","GO:0016020","GO:0005575","cc"
"31","PFE1315w","GO:0016020","GO:0005575","cc"
"32","PF10_0123","GO:0016462","GO:0003674","mf"
"33","PFI0125c","GO:0020011","GO:0005623","cc"
"34","PF14_0062","GO:0005524","GO:0005488","mf"
"35","PFE1595c","GO:0016020","GO:0005575","cc"
"36","PF13_0143","GO:0004749","GO:0003674","mf"
"37","PF11_0072","GO:0020011","GO:0005623","cc"
"38","MAL13P1.38","GO:0008233","GO:0003674","mf"
"39","PFE1360c","GO:0004177","GO:0003674","mf"
"40","PFD0050w","GO:0020036","GO:0005575","cc"
"41","PFC0725c","GO:0009986","GO:0005575","cc"
"42","PF13_0149","GO:0051082","GO:0005488","mf"
"43","PFI0380c","GO:0042586","GO:0003674","mf"
"44","PF14_0344","GO:0005515","GO:0003674","mf"
"45","PF10_0167","GO:0006631","GO:0008152","bp"
"46","PF10_0157","GO:0016020","GO:0005575","cc"
"47","PFF0120w","GO:0004663","GO:0003674","mf"
"48","PFD0207c","GO:0016020","GO:0005575","cc"
"49",NA,"GO:0003677","GO:0003674","mf"
"50","PFC1055w","GO:0005737","GO:0005623","cc"
"51","PFA0640c","GO:0003723","GO:0003674","mf"
"52","PFF0380w","GO:0007155","GO:0008150","bp"
"53","PFE0830c","GO:0008135","GO:0003674","mf"
"54","PFL2280w","GO:0006468","GO:0008152","bp"
"55","PFL2070w","GO:0016020","GO:0005575","cc"
"56","PFL0925w","GO:0003779","GO:0005488","mf"
"57","PFF1385c","GO:0043968","GO:0008152","bp"
"58","MAL8P1.62","GO:0016020","GO:0005575","cc"
"59","PFI1335w","GO:0005634","GO:0005623","cc"
"60","PF14_0571","GO:0016021","GO:0005575","cc"
"61","PF07_0050","GO:0020002","GO:0005575","cc"
"62","PFC0535w","GO:0022625","GO:0005623","cc"
"63","PFL0590c","GO:0000166","GO:0003674","mf"
"64","MAL8P1.154","GO:0055114","GO:0008152","bp"
"65","PFD0785c","GO:0006364","GO:0008152","bp"
"66","PF11_0071","GO:0006310","GO:0008152","bp"
"67","PF10_0089","GO:0008270","GO:0003674","mf"
"68","PFE0470w","GO:0006310","GO:0008152","bp"
"69","MAL8P1.83","GO:0006413","GO:0008152","bp"
"70","PF11_0462","GO:0006355","GO:0008152","bp"
"71","PF11_0088","GO:0016272","GO:0005575","cc"
"72","PFD1235w","GO:0016337","GO:0022610","bp"
"73","PF14_0516","GO:0006468","GO:0008152","bp"
"74","PFC0675c","GO:0006412","GO:0008152","bp"
"75","PFB0095c","GO:0005515","GO:0003674","mf"
"76","PF14_0667","GO:0005516","GO:0005488","mf"
"77","PFE0520c","GO:0006265","GO:0008152","bp"
"78","PFC0556c","GO:0016020","GO:0005575","cc"
"79","PFL2310w","GO:0017070","GO:0003674","mf"
"80",NA,"GO:0000062","GO:0003674","mf"
"81","PFB0350c","GO:0002377","GO:0002376","bp"
"82","PFI0355c","GO:0070011","GO:0003674","mf"
"83","PF10_0077","GO:0005737","GO:0005623","cc"
"84","PFF1445c","GO:0051726","GO:0009987","bp"
"85","MAL13P1.112","GO:0008270","GO:0003674","mf"
"86","PF11_0338","GO:0005215","GO:0003674","mf"
"87",NA,"GO:0005524","GO:0005488","mf"
"88","PF14_0440","GO:0005737","GO:0005623","cc"
"89","PF11_0050","GO:0020037","GO:0003674","mf"
"90","PF08_0074","GO:0003723","GO:0003674","mf"
"91","PFB0445c","GO:0003723","GO:0003674","mf"
"92","PFD1005c","GO:0020030","GO:0005575","cc"
"93","PFL1835w","GO:0005524","GO:0005488","mf"
"94","PF14_0185","GO:0030686","GO:0005623","cc"
"95","PFF1560c","GO:0020036","GO:0005575","cc"
"96","PF14_0475","GO:0016020","GO:0005575","cc"
"97","PFC0770c","GO:0005524","GO:0005488","mf"
"98","PFE0885w","GO:0005852","GO:0005623","cc"
"99","PFL1550w","GO:0045454","GO:0008150","bp"
"100","PFF0695w","GO:0005681","GO:0005623","cc"
"101","PF10_0181","GO:0016020","GO:0005575","cc"
"102","PFB0675w","GO:0005737","GO:0005623","cc"
"103","PF10_0396","GO:0020035","GO:0008150","bp"
"104","PF14_0477","GO:0006614","GO:0009987","bp"
"105","PFI1790w","GO:0051082","GO:0005488","mf"
"106","PF14_0443","GO:0005813","GO:0005623","cc"
"107","PFL2230c","GO:0005506","GO:0003674","mf"
"108","PFI0830c","GO:0005524","GO:0005488","mf"
"109","MAL13P1.36","GO:0000175","GO:0003674","mf"
"110","PFI0960w","GO:0018279","GO:0008152","bp"
"112","PF14_0265","GO:0006415","GO:0008152","bp"
"113","PFL0410w","GO:0031362","GO:0016020","cc"
"114","PF11_0331","GO:0006457","GO:0008152","bp"
"115","PFB0305c-a","GO:0016021","GO:0005575","cc"
"116","PFB0305c-b","GO:0016021","GO:0005575","cc"
"117","PF14_0382","GO:0020011","GO:0005623","cc"
"118","PFI0328c","GO:0016020","GO:0005575","cc"
"119","PF14_0166","GO:0005739","GO:0005623","cc"
"120","PF11_0008","GO:0016021","GO:0005575","cc"
"121","MAL8P1.55","GO:0005622","GO:0005575","cc"
"122","MAL7P1.127","GO:0004707","GO:0003674","mf"
"123","PFF0180w","GO:0005739","GO:0005623","cc"
"124","PF14_0062","GO:0003779","GO:0005488","mf"
"125","PF13_0023","GO:0046983","GO:0005488","mf"
"126","PF14_0293","GO:0005576","GO:0005575","cc"
"127","PFF0350w","GO:0003677","GO:0003674","mf"
"128","PF14_0337","GO:0005516","GO:0005488","mf"
"129","PFL1915w","GO:0046983","GO:0005488","mf"
"130","PFD1240w","GO:0020036","GO:0005575","cc"
"131","PF11_0483","GO:0004660","GO:0003674","mf"
"132","PFC0720w","GO:0051301","GO:0008150","bp"
"133","PFB0805c","GO:0006886","GO:0051179","bp"
"134","PFL1590c","GO:0005739","GO:0005623","cc"
"135","PFL0160w","GO:0005634","GO:0005623","cc"
"136","PF07_0101","GO:0005198","GO:0003674","mf"
"137","PFL0540w","GO:0000030","GO:0003674","mf"
"138","PFC0200w","GO:0005622","GO:0005575","cc"
"139","PF10_0132","GO:0035556","GO:0009987","bp"
"140","PFI1230c","GO:0016020","GO:0005575","cc"
"141","PFF1440w","GO:0019904","GO:0005488","mf"
"142","PFF1265w","GO:0016491","GO:0003674","mf"
"143","PF14_0441","GO:0004739","GO:0003674","mf"
"144","PF10_0037","GO:0016020","GO:0005575","cc"
"145","PF14_0409","GO:0005634","GO:0005623","cc"
