"","plasomDBID","GOTerm","GOAncestor","GOBranch"
"1","PFC0310c","GO:0004252","GO:0003824","mf"
"2","PF14_0605","GO:0004693","GO:0003824","mf"
"3","MAL13P1.535","GO:0020035","GO:0022610","bp"
"31","MAL13P1.535","GO:0020035","GO:0051704","bp"
"4","MAL13P1.241","GO:0007264","GO:0009987","bp"
"41","MAL13P1.241","GO:0007264","GO:0023052","bp"
"42","MAL13P1.241","GO:0007264","GO:0044699","bp"
"43","MAL13P1.241","GO:0007264","GO:0050789","bp"
"44","MAL13P1.241","GO:0007264","GO:0050896","bp"
"45","MAL13P1.241","GO:0007264","GO:0065007","bp"
"5","MAL13P1.385","GO:0000398","GO:0008152","bp"
"51","MAL13P1.385","GO:0000398","GO:0009987","bp"
"6","PF13_0106","GO:0005737","GO:0005623","cc"
"61","PF13_0106","GO:0005737","GO:0044464","cc"
"7","PFI0010c","GO:0020013","GO:0009987","bp"
"71","PFI0010c","GO:0020013","GO:0022610","bp"
"72","PFI0010c","GO:0020013","GO:0044699","bp"
"73","PFI0010c","GO:0020013","GO:0050789","bp"
"74","PFI0010c","GO:0020013","GO:0051704","bp"
"75","PFI0010c","GO:0020013","GO:0065007","bp"
"8","MAL8P1.128","GO:0019773","GO:0005623","cc"
"81","MAL8P1.128","GO:0019773","GO:0032991","cc"
"82","MAL8P1.128","GO:0019773","GO:0044464","cc"
"9","PF14_0249","GO:0005524","GO:0005488","mf"
"10","PFD0462w","GO:0051082","GO:0005488","mf"
"11","MAL13P1.19","GO:0006974","GO:0009987","bp"
"111","MAL13P1.19","GO:0006974","GO:0050896","bp"
"12","PFL1465c","GO:0009408","GO:0050896","bp"
"13","PFI1330c","GO:0005737","GO:0005623","cc"
"131","PFI1330c","GO:0005737","GO:0044464","cc"
"14","PFC0140c","GO:0016887","GO:0003824","mf"
"15","PF14_0067","GO:0005044","GO:0060089","mf"
"16","MAL7P1.204","GO:0005622","GO:0005623","cc"
"161","MAL7P1.204","GO:0005622","GO:0044464","cc"
"17","PFF1480w","GO:0005730","GO:0005623","cc"
