PlasmoDBID,GoTerm
PFC0310c,GO:0004252
PF14_0605,GO:0004693
MAL13P1.535,GO:0020035
MAL13P1.241,GO:0007264
MAL13P1.385,GO:0000398
PF13_0106,GO:0005737
PFI0010c,GO:0020013
MAL8P1.128,GO:0019773
PF14_0249,GO:0005524
PFD0462w,GO:0051082
MAL13P1.19,GO:0006974
PFL1465c,GO:0009408
PFI1330c,GO:0005737
PFC0140c,GO:0016887
PF14_0067,GO:0005044
MAL7P1.204,GO:0005622
PFF1480w,GO:0005730
PF11_0301,GO:0004766
PF11_0230,GO:0020011
PFL0005w,GO:0009405
PFD0360w,GO:0030528
PF14_0051,GO:0003677
PF10_0196,GO:0007018
PFF0090w,GO:0008270
PF11_0333,GO:0016021
PFE0185c,GO:0005840
PFI1120c,GO:0005622
PFI0380c,GO:0020011
PF11_0298,GO:0016255
PF14_0065,GO:0016020
PFE1315w,GO:0016020
PF10_0123,GO:0016462
PFI0125c,GO:0020011
PF14_0062,GO:0005524
PFE1595c,GO:0016020
PF13_0143,GO:0004749
PF11_0072,GO:0020011
MAL13P1.38,GO:0008233
PFE1360c,GO:0004177
PFD0050w,GO:0020036
PFC0725c,GO:0009986
PF13_0149,GO:0051082
PFI0380c,GO:0042586
PF14_0344,GO:0005515
PF10_0167,GO:0006631
PF10_0157,GO:0016020
PFF0120w,GO:0004663
PFD0207c,GO:0016020
NA,GO:0003677
PFC1055w,GO:0005737
PFA0640c,GO:0003723
PFF0380w,GO:0007155
PFE0830c,GO:0008135
PFL2280w,GO:0006468
PFL2070w,GO:0016020
PFL0925w,GO:0003779
PFF1385c,GO:0043968
MAL8P1.62,GO:0016020
PFI1335w,GO:0005634
PF14_0571,GO:0016021
PF07_0050,GO:0020002
PFC0535w,GO:0022625
PFL0590c,GO:0000166
MAL8P1.154,GO:0055114
PFD0785c,GO:0006364
PF11_0071,GO:0006310
PF10_0089,GO:0008270
PFE0470w,GO:0006310
MAL8P1.83,GO:0006413
PF11_0462,GO:0006355
PF11_0088,GO:0016272
PFD1235w,GO:0016337
PF14_0516,GO:0006468
PFC0675c,GO:0006412
PFB0095c,GO:0005515
PF14_0667,GO:0005516
PFE0520c,GO:0006265
PFC0556c,GO:0016020
PFL2310w,GO:0017070
NA,GO:0000062
PFB0350c,GO:0002377
PFI0355c,GO:0070011
PF10_0077,GO:0005737
PFF1445c,GO:0051726
MAL13P1.112,GO:0008270
PF11_0338,GO:0005215
NA,GO:0005524
PF14_0440,GO:0005737
PF11_0050,GO:0020037
PF08_0074,GO:0003723
PFB0445c,GO:0003723
PFD1005c,GO:0020030
PFL1835w,GO:0005524
PF14_0185,GO:0030686
PFF1560c,GO:0020036
PF14_0475,GO:0016020
PFC0770c,GO:0005524
PFE0885w,GO:0005852
PFL1550w,GO:0045454
PFF0695w,GO:0005681
PF10_0181,GO:0016020
PFB0675w,GO:0005737
PF10_0396,GO:0020035
PF14_0477,GO:0006614
PFI1790w,GO:0051082
PF14_0443,GO:0005813
PFL2230c,GO:0005506
PFI0830c,GO:0005524
MAL13P1.36,GO:0000175
PFI0960w,GO:0018279
PFD0380c,GO:0006350
PF14_0265,GO:0006415
PFL0410w,GO:0031362
PF11_0331,GO:0006457
PFB0305c-a,GO:0016021
PFB0305c-b,GO:0016021
PF14_0382,GO:0020011
PFI0328c,GO:0016020
PF14_0166,GO:0005739
PF11_0008,GO:0016021
MAL8P1.55,GO:0005622
MAL7P1.127,GO:0004707
PFF0180w,GO:0005739
PF14_0062,GO:0003779
PF13_0023,GO:0046983
PF14_0293,GO:0005576
PFF0350w,GO:0003677
PF14_0337,GO:0005516
PFL1915w,GO:0046983
PFD1240w,GO:0020036
PF11_0483,GO:0004660
PFC0720w,GO:0051301
PFB0805c,GO:0006886
PFL1590c,GO:0005739
PFL0160w,GO:0005634
PF07_0101,GO:0005198
PFL0540w,GO:0000030
PFC0200w,GO:0005622
PF10_0132,GO:0035556
PFI1230c,GO:0016020
PFF1440w,GO:0019904
PFF1265w,GO:0016491
PF14_0441,GO:0004739
PF10_0037,GO:0016020
PF14_0409,GO:0005634
PF10_0210,GO:0009264
MAL8P1.42,GO:0005524
PF14_0477,GO:0005048
PF14_0227,GO:0004683
NA,GO:0005524
PF11_0359,GO:0006890
PF11_0433,GO:0005737
PFE0215w,GO:0008026
PFD0965W,GO:0048015
PF11_0386,GO:0003735
PF10_0250,GO:0016887
PFI1475w,GO:0005515
PFI1380c,GO:0005524
PF13_0228,GO:0022627
PFF0670w,GO:0003700
PF14_0168,GO:0070258
PF13_0237,GO:0007090
PFC0760c,GO:0005524
PFB0480w,GO:0031338
PF14_0736,GO:0020011
MAL13P1.322,GO:0005634
PF13_0289,GO:0006508
PFI1640c,GO:0006508
PFL1475w,GO:0008168
PFL2660w,GO:0020013
PFI0035c,GO:0020033
PFB0245c,GO:0006366
PF07_0029,GO:0006950
PFB0805c,GO:0030117
PF14_0732,GO:0000166
PFL1650w,GO:0003677
PFL0145c,GO:0006355
PFL1395c,GO:0005737
PFD0465c,GO:0004316
PFF0715c,GO:0051539
MAL7P1.129,GO:0003774
PFC0735w,GO:0003735
PF10_0388,GO:0006457
PFL1875w,GO:0016020
MAL8P1.205,GO:0006817
MAL13P1.115,GO:0008270
PFE1440c,GO:0006412
PFB0150c,GO:0005524
PF13_0257,GO:0005524
PF11_0383,GO:0044311
PF14_0366,GO:0003896
PFL2260w,GO:0016020
PF11_0255,GO:0006397
PF08_0011,GO:0020011
PF10_0001,GO:0016021
PFL0145c,GO:0005829
PFC0340w,GO:0003677
PFB0845w,GO:0016787
PF14_0480,GO:0016020
PF11_0505,GO:0020036
PF07_0049,GO:0016021
PF14_0063,GO:0020011
NA,GO:0044164
PF14_0327,GO:0006464
PF11_0099,GO:0006457
PF14_0242,GO:0006396
PF14_0654,GO:0004012
PF14_0561,GO:0003899
PF13_0003,GO:0020030
PFL1960w,GO:0009405
PF07_0120,GO:0004037
PF14_0314,GO:0016020
MAL13P1.240,GO:0005856
PF11_0021,GO:0020033
PFF0610c,GO:0002098
PFD0060w,GO:0020036
PFC0380w,GO:0005515
PF13_0122,GO:0006457
PF14_0377,GO:0005789
PF14_0679,GO:0055085
PFL0380c,GO:0008033
MAL8P1.25,GO:0005737
PF10_0277,GO:0042254
PFI0165c,GO:0005524
PFE0310c,GO:0003677
PFB0015c,GO:0020036
PFF1125c,GO:0005737
PFL1290w,GO:0031428
PFI0175w-a,GO:0016459
PF07_0134,GO:0020003
PFB0200c,GO:0030170
MAL13P1.348,GO:0005783
PF14_0255,GO:0000287
PF14_0210,GO:0006512
PF13_0209,GO:0008270
PFE1173c,GO:0030286
PFL0900c,GO:0005737
MAL13P1.183,GO:0005746
PFC0200w,GO:0022625
PF13_0280,GO:0016021
MAL13P1.86,GO:0003824
PF14_0141,GO:0005840
PF14_0769,GO:0020033
PF14_0538,GO:0007059
PFE0215w,GO:0005524
PFC0335c,GO:0016020
PFL2245w,GO:0006614
PF11_0097,GO:0005759
PFB0420w,GO:0020011
PF13_0300,GO:0006626
MAL7P1.81,GO:0006446
PFF0810c,GO:0005525
PFC0581w,GO:0051879
PF13_0103,GO:0005524
PF14_0493,GO:0005319
PF10_0079,GO:0008270
PFL0465c,GO:0005634
PF11_0312,GO:0022625
PFI1790w,GO:0030430
PF14_0642,GO:0005840
PFL1140w,GO:0006879
PFI0260c,GO:0003777
PF13_0090,GO:0006886
MAL13P1.78,GO:0005524
PF11_0127,GO:0006468
PF14_0771,GO:0020013
MAL7P1.187,GO:0050839
PF08_0096,GO:0005524
PF14_0057,GO:0005737
PFF0925w,GO:0006281
PF14_0658,GO:0020011
PF11_0021,GO:0020013
PFB0885w,GO:0006412
PFD1085w,GO:0016020
PF14_0159,GO:0016020
PF11_0303,GO:0006508
PF11_0306,GO:0019104
PF10_0115,GO:0003700
PF13_0214,GO:0006414
PF11_0453,GO:0052855
PFI0695c,GO:0016746
MAL13P1.11,GO:0005886
NA,GO:0006506
MAL7P1.111,GO:0005634
PF13_0163,GO:0000166
MAL13P1.88,GO:0035267
PFL0210c,GO:0003743
PFA0570w,GO:0005737
PFE0380c,GO:0005783
PFC1020c,GO:0005840
PFB1055c,GO:0020033
PF10_0081,GO:0005524
PFI1185c,GO:0005581
PFI0880c,GO:0005886
PF11_0250,GO:0005634
PFD0975w,GO:0005524
PFL2565w,GO:0016020
PF11_0051,GO:0000287
PFB0815w,GO:0005886
PF14_0218,GO:0005200
PFF0145w,GO:0016020
PF14_0599,GO:0005524
PF10_0172,GO:0006413
PFE0520c,GO:0042493
PF11_0461,GO:0005525
PFA0685c,GO:0020036
PF08_0020,GO:0006511
PF10_0123,GO:0003922
PFF1155w,GO:0006096
PFL1725w,GO:0015991
PF08_0128,GO:0006457
PF11_0506,GO:0020036
