"","PlasmoDBID1","known"
"1","PF13_0106",1
"2","PF14_0249",1
"3","PFD0462w",1
"4","MAL13P1.19",1
"5","PFL1465c",1
"6","PFI1330c",1
"7","PFC0140c",1
"8","PF11_0230",1
"9","PF14_0051",1
"10","PF10_0196",1
"11","PFF0090w",1
"12","PF11_0333",1
"13","PFE0185c",1
"14","PFI0380c",1
"15","PF14_0065",1
"16","PFE1315w",1
"17","PFI0125c",1
"18","PF14_0062",1
"19","PFE1595c",1
"20","PF11_0072",1
"21","MAL13P1.38",1
"22","PFD0050w",1
"23","PFC0725c",1
"24","PF13_0149",1
"25","PF14_0344",1
"26","PF10_0167",1
"27","PF10_0157",1
"28","PFD0207c",1
"29","PFC1055w",1
"30","PFA0640c",1
"31","PFF0380w",1
"32","PFE0830c",1
"33","PFL2280w",1
"34","PFL2070w",1
"35","MAL8P1.62",1
"36","PFI1335w",1
"37","PF14_0571",1
"38","PF07_0050",1
"39","PFC0535w",1
"40","PFL0590c",1
"41","MAL8P1.154",1
"42","PFD0785c",1
"43","PF10_0089",1
"44","MAL8P1.83",1
"45","PF14_0516",1
"46","PFC0675c",1
"47","PFB0095c",1
"48","PFC0556c",1
"49","PFI0355c",1
"50","PF10_0077",1
"51","PFF1445c",1
"52","MAL13P1.112",1
"53","PF11_0338",1
"54","PF14_0440",1
"55","PF08_0074",1
"56","PFB0445c",1
"57","PFD1005c",1
"58","PFL1835w",1
"59","PFF1560c",1
"60","PF14_0475",1
"61","PFC0770c",1
"62","PFF0695w",1
"63","PF10_0181",1
"64","PFB0675w",1
"65","PFI1790w",1
"66","PFI0830c",1
"67","PF11_0331",1
"68","PFB0305c-a",1
"69","PFB0305c-b",1
"70","PFB0305c-a",1
"71","PFB0305c-b",1
"72","PF14_0382",1
"73","PFI0328c",1
"74","PF14_0166",1
"75","PF11_0008",1
"76","PFF0180w",1
"77","PF14_0293",1
"78","PFF0350w",1
"79","PFD1240w",1
"80","PFL1590c",1
"81","PFL0160w",1
"82","PF07_0101",1
"83","PFI1230c",1
"84","PFF1265w",1
"85","PF10_0037",1
"86","PF14_0409",1
"87","MAL8P1.42",1
"88","PF11_0433",1
"89","PF11_0386",1
"90","PF10_0250",1
"91","PFI1475w",1
"92","PFI1380c",0
"93","PF13_0228",1
"94","PF14_0168",1
"95","PFC0760c",1
"96","PF14_0736",1
"97","MAL13P1.322",1
"98","PF13_0289",1
"99","PFI1640c",1
"100","PFL1475w",1
"101","PFB0245c",1
"102","PF07_0029",1
"103","PFB0805c",1
"104","PF14_0732",1
"105","PFL1650w",1
"106","PFL1395c",1
"107","MAL7P1.129",1
"108","PFC0735w",1
"109","PF10_0388",1
"110","PFL1875w",1
"111","MAL13P1.115",1
"112","PFE1440c",1
"113","PFB0150c",1
"114","PF13_0257",1
"115","PFL2260w",1
"116","PF08_0011",1
"117","PF10_0001",1
"118","PFL0145c",1
"119","PFC0340w",1
"120","PFB0845w",1
"121","PF14_0480",1
"122","PF11_0505",1
"123","PF07_0049",1
"124","PF14_0063",1
"125","PF11_0099",1
"126","PF14_0242",1
"127","PF13_0003",1
"128","PF14_0314",1
"129","MAL13P1.240",1
"130","PFD0060w",1
"131","PFC0380w",1
"132","PF13_0122",1
"133","PF14_0679",1
"134","MAL8P1.25",0
"135","MAL8P1.25",0
"136","PF10_0277",1
"137","PFI0165c",1
"138","PFE0310c",1
"139","PFB0015c",1
"140","PFF1125c",1
"141","MAL13P1.348",1
"142","PF13_0209",1
"143","PFL0900c",1
"144","PFC0200w",1
"145","PF13_0280",1
"146","MAL13P1.86",1
"147","PF14_0141",1
"148","PFE0215w",1
"149","PFC0335c",1
"150","PF11_0097",1
"151","PFB0420w",1
"152","PFF0810c",1
"153","PF13_0103",0
"154","PF13_0103",0
"155","PF10_0079",1
"156","PFL0465c",1
"157","PF11_0312",1
"158","PF14_0642",1
"159","PFI0260c",1
"160","MAL13P1.78",1
"161","PF11_0127",1
"162","MAL7P1.187",1
"163","PF08_0096",1
"164","PF14_0057",1
"165","PFF0925w",1
"166","PF14_0658",1
"167","PFB0885w",1
"168","PFD1085w",1
"169","PF14_0159",1
