PlasmoDBID	5-Fluorouracil	Proguanil	MMS	Artemisinin	Doxycycline	Atovaquone	Chloroquine	Chloramphenicol	Tafenoquine	Methotrexate	Geldanamycin	Rapamycin	E-64	Nelfinavir	Epoxomicin	Cerulenin	PPMP	z-Val-Asp	Fosmidomycin	Apicidin	JQ1	Dideoxyadenosine	Curcumin	Olomucine	Fenofibrate	SJ140722	SJ119930	SJ194935	SJ292024	SJ77572	Vincristine
NON_CODING_00072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PF10TR005	0.994192023	NA	1.583369568	NA	0.891002606	0.999226442	0.928962163	NA	1.042997585	NA	NA	1.391565629	2.390938281	NA	0.680448608	NA	0.615681974	NA	NA	NA	1.077008142	1.318296784	0.680284253	NA	NA	1.231934128	0.791619769	NA	0.77213574	NA	1.121844695
NON_CODING_00109	NA	NA	0.838824612	1.108689338	1.271216061	1.130264389	0.866014186	0.508159693	1.124427461	NA	1.014447851	1.162732031	0.9261329	0.809039153	1.157122844	0.989957277	0.837655109	0.729380184	0.855684241	0.993497963	1.361122261	0.937659524	2.722924101	0.809630367	1.09026971	0.93894196	1.44466565	1.313798673	0.828562254	1.631313772	1.065179667
PFB0090c	0.979466435	1.423416566	1.04407606	0.870434854	1.076425821	1.220291814	0.905900573	0.807444098	0.855368271	0.921070273	0.846997406	0.98936886	1.92795387	0.899895524	1.015399355	0.607542234	1.009459	0.954203116	0.961540157	1.00695987	1.383601002	0.837785249	0.072540194	0.638371006	1.583622194	1.343026996	2.41786291	1.673869132	0.122798209	1.602781981	1.37522833
PFB0095c	0.995725226	1.229086458	1.183253566	1.038905559	0.978682418	1.051806707	0.853459363	0.781683066	0.869470716	0.948590543	0.784797868	0.834517883	1.049474408	0.979552001	1.098799161	0.74574818	1.924510369	1.104090555	1.195413593	1.061312307	1.371433623	0.727553415	0.048777093	0.755128691	1.136127807	1.372430731	2.629288212	1.674273353	0.096591344	1.5769361	1.167785607
PFL2555w	0.992479524	1.179819194	0.965731328	0.969917858	1.278939166	1.207580538	1.069829929	0.493026979	0.945927805	1.091199099	0.895733381	1.271102308	1.608033977	0.87404929	0.976220246	0.425682077	0.860477307	0.808158678	0.863610209	0.995677413	1.345131027	0.969689232	0.173934536	0.533680448	1.714173878	1.248401517	2.172750724	1.670162272	0.249586726	1.666354972	1.742309586
MAL7P1.177	1.007528848	0.976233723	1.087107392	1.260149932	0.975206448	0.83517508	1.045730419	0.904256503	0.973891364	0.97037816	1.194778965	1.12570425	0.996794819	0.970767883	0.992655587	1.066828922	0.885174669	0.996609115	0.859349829	0.920054662	0.924933874	1.149218255	0.822006377	1.177884375	1.340630533	1.088804903	2.292457679	1.322691989	0.662141323	1.23210956	1.133589754
NON_CODING_00057	NA	2.777775596	NA	NA	0.782727025	1.156503654	0.781048375	NA	NA	NA	0.954540812	NA	1.444581594	1.198893711	0.996675565	0.996029599	0.924697695	0.886191869	0.849688696	0.799194459	NA	NA	0.848726431	0.702125729	1.228694447	NA	0.921104249	NA	0.779600816	0.959238791	1.365620838
PFB0100c	1.010477206	1.094939554	1.021144539	0.926351504	1.034734461	1.034431118	1.012595924	0.897592681	0.878805494	1.026638324	0.811272946	0.767748207	1.457340867	0.956033099	1.165524578	0.751965028	1.063002348	1.119559237	1.15631481	0.899209669	1.287500001	0.784314751	0.078879683	0.776743829	1.425372538	1.322863685	2.68192864	1.777689397	0.094036403	1.596948764	1.185159136
PFL2370c	1.167557018	0.974550718	1.005161529	1.123855117	1.032765928	1.002744148	1.139803914	0.697330877	1.078735523	1.062200103	0.885853445	1.116388805	1.065835086	1.115281932	0.962132046	0.737347357	0.91314021	0.945442414	0.890719033	1.0821619	0.98272886	1.571607206	1.39677408	0.985808514	1.097868868	1.215030824	1.420283979	1.246016975	0.724606091	1.171610295	1.215797816
PF14_0791	1.012598102	0.932898037	1.105412377	0.946266141	1.048948414	1.100048615	1.079532228	0.744002124	1.132222862	1.021659111	0.945979104	1.024965623	1.23471148	1.01024152	1.067657968	0.844905819	0.816510768	0.906269361	0.775754761	1.040345734	1.098696424	1.424301314	1.449710542	0.899931895	1.244964153	1.183380524	1.448226394	1.218078985	0.613121294	1.394697411	1.175368701
NON_CODING_00033	1.135887579	NA	NA	NA	0.882012735	1.225843505	1.007140371	NA	0.900912454	NA	NA	NA	1.565874077	NA	NA	1.126396215	0.75982658	0.808626723	0.702218856	1.178882907	1.082453001	1.126194568	1.280211036	0.81929306	NA	NA	1.278160412	NA	0.726439374	NA	1.518441322
PF13_0216	0.970435181	0.886188232	1.2337165	0.990132821	0.985527971	1.096859212	1.141916625	0.844516304	1.065903829	0.904540714	0.969934161	0.850987225	1.168874274	1.078953671	1.202263818	1.066477466	0.888027454	0.849353543	0.758030495	1.010672211	1.029568468	1.129243427	2.254320878	0.989753922	1.101399729	1.041727194	1.182072329	1.124280445	0.914657866	1.117132453	1.08709423
PFL0400w	0.872761712	0.872953879	1.153398953	0.959878217	0.942729752	0.867782315	0.932028421	1.170865588	0.93766389	1.621164939	1.066530573	1.17759821	1.747970208	1.049810669	1.277604957	0.894349779	0.711314291	0.765297414	0.799558075	0.902282733	1.025842619	0.975400614	1.753084443	0.965932437	1.015308629	1.057999287	1.063822573	1.054627483	0.876195345	1.166195606	1.18566211
MAL13P1.219	0.941473655	0.883438846	1.284917828	1.01633189	0.800008741	1.106920904	1.044054851	1.011006275	0.933502136	0.92836731	0.950816151	0.758732822	0.928013493	0.97785359	1.436945571	1.055068056	0.933983181	0.86279302	0.853437113	1.249854281	1.028746609	0.956287704	2.750175715	0.997984121	0.816064903	1.058690524	1.186384739	1.09912053	0.806661835	1.034265465	1.049170439
PFE1280w	0.929904531	0.869611539	1.639099167	0.978955586	0.955495947	0.965002171	1.019418379	0.929658067	1.006575649	0.965425364	1.08838576	0.900428749	1.148420616	0.890166021	1.24465815	1.038732203	0.965192567	0.961308233	0.928356878	0.875649118	1.027442523	0.905336488	1.735787727	1.041300353	1.116768883	1.055666441	1.273220811	1.146378695	0.843703529	1.246176909	1.04822625
PFB0080c	0.789949873	1.586389436	1.357135471	0.977522674	1.078490141	1.134553588	0.845750685	0.757380703	0.746083164	0.833585098	0.854282195	0.98802091	1.396035021	0.925254805	1.029999426	0.599194864	0.976033596	1.031850364	1.034220655	1.022790279	1.329620664	0.805793814	0.064000939	0.681876494	1.502220602	1.28289978	2.433101049	1.668802949	0.123692009	1.563548054	1.319622259
NON_CODING_00003	1.112973977	0.918252359	0.877247639	1.180331593	1.014546383	1.169298045	0.954439746	0.644461797	1.209101515	1.161841322	1.110842581	1.424126205	1.724691762	0.746385197	0.962966445	0.330296236	0.758934841	0.52312187	0.593795258	0.826057999	1.398459841	1.390025886	0.853196476	0.459011343	1.147756959	1.070497016	1.65566714	1.422713962	0.51742871	1.828166803	1.752753144
PF08TR003	1.002710289	0.91839919	1.359348215	1.025028684	0.906867355	1.097620933	1.136974458	0.631974229	1.089496539	1.060045655	0.936037482	0.935685176	1.148697754	0.963993633	0.993890709	0.801341335	0.99991272	0.957465712	0.976624773	0.875288701	0.994109086	1.200282704	1.580205312	0.914705695	1.041942945	1.20581484	1.528411008	1.343791093	0.674839971	1.330083787	1.100624833
PFB0501c	1.168650133	0.88314807	0.793650269	1.041558598	1.112646105	1.03131459	1.256475113	0.788268404	1.102122076	1.070212143	0.956333248	0.954596704	1.368094331	0.999356391	1.296462311	0.896921786	0.885077129	0.661444977	0.639796391	0.902222717	0.967518047	1.083701749	1.679612648	0.856867576	1.113883304	1.072782781	1.312470331	1.248314302	0.762410721	1.4344602	1.339094503
PFB0085c	0.921968604	1.325479004	1.096742337	1.139496778	0.802084568	1.10217766	1.045467506	0.738797353	0.844348629	0.981836239	0.854606607	0.887191903	0.991170157	0.959984534	0.949355567	0.96255707	1.10335653	1.147305529	1.143515683	0.997231002	1.307133623	0.646062925	0.172690091	0.784644364	1.813118868	1.472730329	2.346449238	1.67175629	0.092638974	1.509446921	0.867716278
