PFL1295w	PFD1240w	PFB0100c	PF14_0382	MAL13P1.194	PFL1655c	PFB0085c	PFF0400w	PF14_0721	PF10_0151	MAL7P1.157	MAL7P1.228	MAL13P1.112	PF11_0129	MAL13P1.67	PFB0080c	PFL2000w	MAL13P1.255	PFL2005w	MAL13P1.193	PF13_0182	PF14_0417	PF10_0165	PFL1545c	PFB0030c	PF13_0359	PF14_0538	MAL13P1.226	PF10_0345	PFL1775c	PF13_0121	PFI0830c	PF14_0502	PFI0135c	PF14_0268	PFE0040c	PF13_0095	PFA0340w	PFE0270c	PF13_0353	PF07_0129	MAL8P1.101	PF13_0187	PFB0075c	PF14_0063	PF14_0412	PFD0090c	PFE0475w	PFI0670w	PF14_0061	PFC0590c	PFB0095c	PFC0275w	PF11_0249	PF10_0343	PF14_0105	PF14_0132	PFB0090c	PF07_0023	PF14_0317	PFB0467w	MAL13P1.180	PFC0950c	PF11_0386	PF14_0177	PF11_0074	PF07_0064	PFI0530c	PFL2625w	PF11_0197	PFE0690c	PFB0530c	PFF0255c	PFD0590c	PFL2555w	PFC0575w	PF14_0601	PF07_0012	PFC0765c	PFL0500w	PF13_0189	MAL13P1.258	PFA0590w	PFB0840w	PF08_0045	PF10_0221	PFF0815w	PFL2180w	PF10_0246	PF14_0181	PF14_0266	PF08_0131	PFB0750w	PFC0995c	PFB0385w	PF11_0506	PF11_0130	PF10_0030	PF08_0014	PFA0390w
PF13_0241	PF10_0336	PFE1000c	MAL8P1.74	PFI0375w	PF14_0791	MAL13P1.47	PF07_0113	PFE1075c	PFB0420w	PFL1100w	PFI0960w	PFL1540c	PFL1045w	PF10_0246	PF08_0009	PFC0911c	PFB0467w	PF11_0073	PF13_0082	PF14_0379	PFI0810c	PF10_0030	PF11_0215	PF14_0049	MAL13P1.258	PF11_0322	PFL0375w	PF10_0191	PFD0685c	PFI1310w	PF11_0181	PFD0365c	PFC0590c	PFL2185w	MAL8P1.86	PFF0945c	PF11_0121	PFL1740w	MAL13P1.138	PFL2240w	PFA0540c	PFL1720w	PFC0575w	PFF1395c	PF14_0500	MAL8P1.11	PF14_0446	PF14_0348	PFL2000w	PF10_0151	PFD0705c	PFL1445w	PF14_0317	PF10_0110	PF11_0355	PFL0500w	PF10_0259	PFA0545c	PFI1468c	PFI0535w	PF14_0265	PFB0600c	PFI0465c	PF10_0320a	PF14_0667a	PFE1275c	PF10_0017	PFI1530c	PF13_0345	PF14_0376	PF14_0060	PF13_0176	PF14_0063	PF13_0312	PFF0550w	PF14_0531	PF14_0050	MAL13P1.284	MAL13P1.235	PFA0390w	PFL1585c	MAL8P1.142	MAL13P1.111	PFC0205c	MAL8P1.84	MAL13P1.161	MAL8P1.157	MAL8P1.107	PFF1045w	MAL7P1.79	PF11_0370	MAL8P1.102	PF11_0120	MAL13P1.134	PF14_0613	PFD1085w	PF14_0597	MAL13P1.365	MAL13P1.113
MAL7P1.93	PF13_0264	PF14_0692	PFF1190c	MAL13P1.219	PFL1380w	PF07_0063	PFL2155w	MAL13P1.241	PFD0205c	MAL13P1.239	MAL13P1.348	PFE1315w	MAL13P1.218	MAL8P1.380	PF11_0479a	PF14_0590	PFL1905w	PFC1035w	PF14_0556	PFA0185w	PFE0210c	PFL1555w	PF11_0530	PFE0920c	PFE1173c	PFE0455w	PFF1085a	PF11_0368	MAL8P1.59	PFE1200w	PFI0525w	PF11_0394	PF13_0336	PFD0367w	MAL8P1.36	MAL13P1.287	PFD0993c	MAL8P1.110	PF13_0122	PF14_0582	PFE1135w	PF11_0414	PFC0580c	PFL0540w	PF14_0161	PFI1550c	MAL13P1.128	PFL2175w	PF11_0470	PF13_0022	PFE1060c	PF08_0068	PFL0560c	PFE0260w	PFF0980w	PF10_0420	PFF0160c	PFI1660w	PFC0371w	MAL13P1.51	PF14_0232	PF14_0212	PF14_0548	MAL7P1.20	PF11_0213	MAL8P1.138	PF14_0506	MAL13P1.247	PF14_0385	PFL0610w	PFB0320c	PF10_0173	PF14_0396	PFL0245w	MAL13P1.365	PFB0505c	PFF1130c	PF11_0323	PFD0675w	MAL13P1.170	PFB0820c	PF11_0118	PF11_0095a	MAL13P1.248	PF10_0027	MAL7P1.31	PFE0900w	PF10_0338	PF14_0415	PF11_0423	PF14_0752	PF14_0484	PF11_0269	PF14_0245	PFB0160w	PFE1560c	PFE0075c	PFD1135c	PF11_0316
MAL7P1.130	PFI1463w	PFI0950w	MAL8P1.109	PFE1560c	PFD0745c	MAL8P1.79	PF11_0213	PF10_0420	PFI1835c	PF13_0061	PFE0075c	PFD1140w	PFB0585w	PF13_0122	PFA0465c	PFI0245c	PF10_0207	PFD0675w	PFA0260c	MAL8P1.75	PFE1535w	PFF1190c	PF14_0717	PF14_0134	PFL1535w	PF13_0331	PF14_0133	MAL7P1.93	MAL7P1.20	PFB0140w	PFL0990w	PF14_0405	MAL8P1.36	PF14_0468	PF11_0530	PFI1655c	MAL13P1.218	PF10_0147	PFL0395c	PF10_0216	PF11_0484	PFI0130c	PFF1360w	PF11_0075	PFE1060c	PFA0125c	PF14_0720	PF14_0381	PF13_0054	MAL7P1.73	PFF0270c	PF07_0063	PF14_0415	MAL13P1.40	PFL1380w	PFD0380c	PFC1035w	PF11_0426	MAL13P1.246	PF11_0320	PFL1915w	PFD0367w	PFL0430w	PFF0640w	PF07_0093	PFE1125w	PF14_0506	PFB0725c	PF11_0135	PF13_0067	PF14_0752	MAL7P1.89	PFB0935w	PF13_0081	PFA0540c	PF13_0264	PFD1210w	MAL13P1.219	PF11_0420	MAL13P1.62	PFI1575c	PFE0210c	PFI0385c	MAL13P1.128	PFF0120w	PFI1660w	PF14_0062	PFL1050w	PF13_0246	PF11_0435	PF10_0137	PFC0010c	MAL8P1.138	PF10_0229	PFA0150c	PFI0660c	PFC0615w	PFF0160c	MAL13P1.152
PF07_0113	PFA0540c	PF11_0322	PFE1075c	PF14_0791	PFE1450c	PFF0680c	MAL8P1.22	MAL8P1.86	PF10_0233	PFI0660c	PFB0467w	PF10_0259	PFL1250c	PFC0125w	PFI0130c	PFF1395c	MAL8P1.74	PF14_0061	PFI1575c	PFF1015w	PF10_0243	PFB0520w	MAL13P1.134	PFC0575w	PF10_0050	PF14_0265	PFL1540c	PFA0290w	PF14_0810	MAL13P1.47	PF11_0121	PFI1660w	MAL13P1.365	PF11_0425	PF10_0246	PF14_0381	PFA0455c	PF10_0316	MAL8P1.61	PFD0330w	PF10_0030	PF11_0181	PFI0950w	PFI1468c	MAL13P1.112	PF13_0202	PF13_0031	PF14_0348	PFF0640w	PFI0375w	MAL8P1.50	PF13_0241	PF14_0317	PFL2115c	PF14_0720	MAL13P1.258	PF14_0332	PFB0385w	PF10_0151	PFC0590c	PF14_0602	PFE1275c	PF14_0369	PF11_0048	PFD0807c	PFE1000c	PF10_0017	PFD0710w	PF08_0045	PFI0665w	PF14_0446	PF14_0514	PF10_0052	PF13_0176	PF11_0407	PFL2240w	PFD0367w	PF14_0613	PF14_0642	PFL0375w	PF14_0232	PF14_0403	PFL2000w	PFD0675w	PFF0120w	PFI1240c	PF10_0336	PFI0385c	MAL13P1.167	MAL8P1.101	PFB0420w	PF14_0601	PFF0390w	PFL2185w	PFL1100w	PF10_0335	PFC0205c	PFL1135c	MAL13P1.111
PF10_0338	PF14_0092	PFB0820c	PFF1130c	PFF1405c	PF14_0232	PF11_0202	MAL8P1.22	MAL7P1.31	MAL7P1.79	PFI1050c	PFE1173c	MAL8P1.30	PF14_0335	MAL13P1.200	PF13_0301	MAL13P1.300	PF11_0215	PF10_0320a	MAL13P1.47	PF13_0022	PF08_0097	PF11_0483a	PF14_0583	PF14_0791	PF14_0265	PF10_0035	PFI1295c	PF14_0208	PFI0810c	PF14_0653	PFE1300w	PFB0600c	MAL7P1.106	PFL1100w	PFL0375w	PFC0575w	PFD1080w	MAL13P1.238	PF10_0111	PFL0705c	PF14_0036	PF14_0692	PF11_0459	PFD0330w	PFF0925w	PFB0605w	PFB0160w	PF08_0067	PF14_0061	MAL8P1.50	PFL2185w	MAL13P1.271	MAL7P1.203	MAL7P1.132	PFL2175w	PF14_0582	PF13_0345	PF14_0597	PFF0720w	PFI1660w	PF13_0028	MAL13P1.124	PFL0692c	PFC0415c	PFL1540c	MAL13P1.365	PFD0705c	PF13_0336	PF14_0815	MAL8P1.74	PFB0865w	PFD0335c	PFI0985c	PFF0120w	PFI0390c	MAL13P1.327	PF14_0514	PFD0690c	PF13_0279	PFI0130c	PF11_0322	PFD0250c	MAL13P1.71	PFC0160w	MAL13P1.167	PF14_0484	PFF0980w	PF14_0161	PFA0540c	PF14_0381	PF11_0361-a	MAL13P1.241	PF13_0246	PF11_0048	PFL2160c	PF13_0241	PFL2115c	PF14_0212	PF14_0312
MAL13P1.7	PFL2580w	PFD1220c	PFL2550w	PFD1240w	PFI0055c	PFB0030c	PFB0095c	PF14_0268	MAL7P1.21	MAL7P1.102	PF07_0035	PFE1485w	PFB0085c	PFD0060w	PFC0025c	PFL2560c	PFB0390w	PF14_0538	PFA0080c	PFD0595w	PF10_0400	PFD1015c	MAL13P1.324	PFA0740w	MAL7P1.228	PF14_0177	PF14_0010	PF10_0396	PFB0100c	PFL1870c	PFE0450w	PFL0030c	PFD0795w	PFE0265c	PFE0090w	PFA0165c	PF10_0221	PF11_0529	PFL2640c	PFC0860w	PFF0750w	PF11_0506	PF10_0393	MAL7P1.185	PFF0715c	MAL13P1.505	PFL1310c	PFL2005w	PF11_0509	PFE0150c	PFF0400w	PFB0075c	PF11_0510	PF13_0099	PFD0470c	PF10_0307	PFB0080c	PFL1190c	PFD1185w	PFD0735c	PF14_0238	PFL2625w	PF10_0345	PF14_0132	PFI0160w	PF07_0016	MAL13P1.2	PF13_0024	PFD0420c	PFE0715w	PFD0790c	PFB0460c	PFF0670w	PF14_0295	PF14_0409	MAL7P1.207	MAL13P1.1	PFI0530c	PFD1245c	PF13_0072	PF14_0748	PFA0535c	PFL1210w	PFF0740c	PFL0025c	PFC1115w	MAL13P1.19	MAL13P1.186	PF10_0045	PFC0275w	PFD0830w	PF14_0354	PF10_0080	PFB0070w	PFD0615c	PF14_0114	PF14_0470	PF13_0299	PF11_0008
PF11_0322	PF14_0265	MAL8P1.22	PF14_0061	PF13_0202	PFE1450c	PFI1575c	PF10_0316	PF14_0514	MAL8P1.50	MAL8P1.74	PF14_0791	MAL8P1.30	PF11_0121	PFD0330w	PF10_0050	PF08_0045	PFF0680c	PF10_0233	PFI0130c	PF13_0118	MAL13P1.134	PF10_0320a	PF13_0176	PFC0575w	MAL7P1.79	MAL13P1.200	PF14_0381	PF14_0060	PF11_0181	MAL8P1.86	PF07_0113	PF10_0151	PFL1250c	PF14_0653	PF10_0246	PFL2000w	PF11_0407	PF13_0241	PFE1275c	PFL1540c	MAL8P1.84	PF14_0601	MAL13P1.258	PFL1720w	PFL2240w	MAL7P1.111	PF11_0262	PF14_0092	PFF1395c	PFA0290w	PFA0540c	PFL1775c	PF10_0111	PF10_0097	PFE1075c	MAL8P1.101	PF11_0215	PFL2115c	PF11_0248	PF14_0720	PFI1240c	PFI1660w	PF10_0052	PF14_0317	PF14_0232	PF14_0667a	PF11_0112	MAL13P1.255	PFB0385w	PFA0455c	PFC1115w	PF14_0309	PF10_0236	PFC0590c	PFI0375w	PFI0985c	PF14_0721	PF13_0182	PFF1015w	PFF0115c	PFE1173c	PF08_0097	PFB0467w	PF14_0597	PFI0230c	PF11_0425	PFI0660c	PF11_0427	PF13_0031	PF10_0243	PF14_0063	MAL13P1.167	PF11_0249	PF10_0030	PF11_0048	PF13_0028	PFC0125w	PFL2185w	PFF0120w
PF13_0345	PF14_0265	PF13_0241	PFL1100w	MAL8P1.74	PFL1540c	PF14_0791	PF10_0246	PFF1405c	PF10_0035	PFI0535w	PF11_0215	MAL13P1.47	PFI0375w	PFL0375w	PF11_0322	PFI0810c	PFC0911c	PFE1075c	MAL8P1.50	PF14_0597	PF11_0121	PFC0575w	PFD0705c	PFB0420w	PFI0960w	PFL2000w	PFC0205c	PFA0540c	MAL8P1.22	PF10_0320a	PFE1000c	PF14_0317	MAL13P1.327	PF14_0399	PF14_0667a	MAL8P1.107	PF10_0050	PF07_0113	PFL1585c	PF13_0202	PF11_0072	PFL2065c	PF14_0061	PFI0405w	MAL8P1.86	PF14_0403	PFB0600c	PF14_0092	PFF0550w	PFB0467w	PFC0506w	PFL2185w	PFL0500w	PFE1420w	PF10_0338	MAL7P1.79	MAL13P1.365	PFB0865w	PF14_0376	PFE1450c	PFL1445w	PF10_0336	PFD0325w	PFE1300w	MAL13P1.201	MAL13P1.185	PFD0330w	MAL13P1.217	MAL13P1.150	PF11_0355	PFL0120c	PFF0900c	PFF1395c	MAL8P1.131	MAL13P1.255	MAL8P1.30	MAL13P1.227	PFI0215c	PFA0290w	PF11_0338	PFL1465c	PFD0465c	PFL1045w	PFF1045w	MAL13P1.111	MAL13P1.258	PFC0581w	PFB0820c	PF08_0009	MAL13P1.138	PFF1130c	PF14_0426	PFA0300c	PFC0415c	PF14_0060	PFL2160c	PFL2180w	PFI1660w	PFL0705c
MAL13P1.365	PFI1660w	PFD0367w	PF13_0264	PFD0800c	PFL2155w	PF11_0269	MAL13P1.239	PFA0540c	MAL7P1.93	MAL13P1.47	MAL13P1.170	PFL0770w	PFI1468c	PFD0675w	PF13_0336	PFE1315w	MAL13P1.201	MAL8P1.59	PFD0993c	PF14_0692	PFL2185w	PFE1135w	PFF1235w	MAL8P1.157	PF14_0810	PF14_0590	PF14_0613	PF14_0582	PFE1173c	PFI0130c	PF11_0095a	PF11_0118	PFL1535w	MAL8P1.36	MAL13P1.238	PFF0980w	PF13_0022	PFF1190c	PF08_0097	PF14_0610	PFL1585c	PF07_0063	PFL0740c	PF11_0368	PF14_0635	PF14_0161	PFF1130c	PF14_0602	PF11_0479a	PFE0210c	PF10_0335	PF14_0245	PFI1450c	PFD0205c	MAL13P1.219	PFF1085a	MAL13P1.34	MAL13P1.161	MAL13P1.200	PF14_0332	PF14_0232	PFA0185w	PF14_0696	PF11_0530	PF07_0113	PFB0732c	PFI0985c	PF13_0300	PFL1555w	PFC1035w	PFE1535w	PF08_0067	MAL8P1.22	PF14_0609	PFL1380w	MAL8P1.110	PF14_0335	PF11_0306	PFI0805w	PFL0045c	PF10_0338	PFE1200w	MAL13P1.286	PF13_0131	PFF0720w	PFE0560c	PFL1540c	PF10_0259	PFE1215c	PFC0630w	MAL13P1.128	PFI0525w	PFL0745c	MAL13P1.167	PF10_0420	PFC0155c	PF11_0483a	PFI1575c	MAL13P1.241
